日期,万醉,万杨,吾湘,吾黄,吾醉,萍姐,柳,保黄,五洲,至尊,万李二,当日合计
1日,496,88,143,52,351,177,119,125,107,123,0,1781
2日,480,272,0,0,462,142,83,0,0,195,0,1634
3日,0,114,0,0,0,0,132,0,100,127,0,473
4日,0,30,146,53,13,0,100,0,153,106,0,601
5日,736,111,0,0,505,212,0,55,0,142,0,1761
6日,0,576,0,35,0,481,316,25,0,174,0,1607
7日,180,222,0,0,0,25,0,0,137,0,223,787
8日,0,32,161,52,0,0,83,130,0,156,478,1092
9日,0,0,0,53,0,256,143,0,93,0,0,545
10日,0,18,0,0,0,33,0,0,116,173,0,340
11日,269,203,0,0,516,0,0,17,0,136,0,1141
12日,184,190,208,70,0,0,251,0,0,100,0,1003
13日,389,171,0,43,307,228,99,132,145,79,0,1593
14日,241,176,168,52,331,0,52,0,0,124,493,1637
15日,0,275,0,0,0,82,229,0,159,92,0,837
16日,0,0,0,0,90,0,0,0,0,120,225,435
17日,79,18,0,0,95,146,0,0,0,141,0,479
18日,0,396,250,25,304,19,151,0,101,155,0,1401
19日,1226,436,0,140,1845,454,330,0,75,137,0,4643
20日,0,221,0,0,575,0,75,133,65,84,314,1467
21日,0,267,60,21,229,239,176,0,0,96,0,1088
22日,0,239,0,0,0,0,203,0,115,177,0,734
23日,0,68,0,0,0,203,131,0,0,141,0,543
24日,0,190,0,65,0,0,65,0,84,110,0,514
25日,211,103,0,52,444,0,63,133,0,0,174,1180
26日,0,230,0,0,241,92,0,0,71,186,0,820
27日,187,448,275,172,719,48,274,0,59,145,0,2327
28日,0,203,55,0,0,0,144,96,111,133,0,742
29日,0,64,128,0,0,34,198,0,75,111,0,610
30日,98,153,0,0,0,77,192,0,0,0,0,520
本月合计,4776,5514,1594,885,7027,2948,3609,846,1766,3463,1907,34335
