日期,万杨,万醉,柳,萍姐,吾醉,五洲,至尊,保黄,吾黄,吾湘,__b2,当日合计
1日,17,305,151,30,436,116,176,105,70,0,0,1406
2日,68,178,0,0,248,0,45,0,102,202,0,843
3日,407,214,0,30,527,78,159,35,0,0,0,1450
4日,92,361,289,138,56,63,108,70,0,0,0,1177
5日,268,143,114,28,0,124,0,0,138,126,192,1133
6日,243,223,0,0,0,0,105,157,0,30,0,758
7日,0,254,138,100,216,104,137,0,52,0,0,1001
8日,33,122,301,0,0,0,0,63,0,209,0,728
9日,117,0,63,0,0,0,150,0,35,0,0,365
10日,123,207,158,0,130,159,0,0,0,0,0,777
11日,662,0,204,87,596,60,183,105,267,259,0,2423
12日,32,0,0,89,0,0,0,0,0,0,0,121
13日,140,0,220,0,584,146,144,88888,0,134,0,90256
14日,30,0,0,59,0,0,0,70,0,0,0,159
15日,0,0,121,0,127,0,0,35,0,0,0,283
16日,330,202,129,0,199,97,277,0,25,0,137,1396
17日,45,0,334,150,446,0,192,0,0,126,0,1293
18日,187,0,0,0,401,150,147,8888,117,117,0,10007
19日,194,0,299,0,206,0,176,0,0,0,0,875
20日,192,0,50,0,64,69,62,70,60,0,0,567
21日,23,0,114,0,351,0,120,0,0,118,0,726
22日,160,0,185,79,408,0,0,88888,52,0,0,89772
23日,0,281,0,0,0,100,0,0,65,0,51,497
24日,210,82,160,0,63,67,118,49,0,0,0,749
25日,152,0,134,140,0,0,41,70,64,120,0,721
26日,118,0,80,0,0,0,0,8888,0,0,0,9086
27日,0,0,0,0,454,0,0,0,0,0,0,454
28日,100,0,0,0,0,0,0,0,0,93,137,330
29日,84,0,0,49,0,133,0,88888,64,0,0,89218
30日,169,0,179,0,0,0,127,0,0,0,0,475
31日,0,0,0,48,0,0,0,0,0,0,0,48
本月合计,4196,2572,3423,1027,5512,1466,2467,285269,1111,1534,517,309094
